"CpG_ID","N_samples_imputed","Pct_samples_imputed"
"cg00000289",1,4.76190476190476
"cg00002979",2,9.52380952380952
"cg00004421",1,4.76190476190476
"cg00006472",1,4.76190476190476
"cg00009352",6,28.5714285714286
"cg00010743",2,9.52380952380952
"cg00011277",1,4.76190476190476
"cg00012077",1,4.76190476190476
"cg00013952",2,9.52380952380952
"cg00014638",1,4.76190476190476
"cg00015987",1,4.76190476190476
"cg00017059",1,4.76190476190476
"cg00019589",9,42.8571428571429
"cg00020877",5,23.8095238095238
"cg00022938",2,9.52380952380952
"cg00023304",3,14.2857142857143
"cg00025779",1,4.76190476190476
"cg00026557",9,42.8571428571429
"cg00033710",3,14.2857142857143
"cg00041585",3,14.2857142857143
"cg00049220",3,14.2857142857143
"cg00050873",6,28.5714285714286
"cg00054572",1,4.76190476190476
"cg00055617",1,4.76190476190476
"cg00056325",1,4.76190476190476
"cg00056468",1,4.76190476190476
"cg00057265",1,4.76190476190476
"cg00061551",11,52.3809523809524
"cg00063477",4,19.047619047619
"cg00066022",1,4.76190476190476
"cg00070165",6,28.5714285714286
"cg00071863",3,14.2857142857143
"cg00075402",1,4.76190476190476
"cg00075675",1,4.76190476190476
"cg00075726",5,23.8095238095238
"cg00079898",2,9.52380952380952
"cg00082194",1,4.76190476190476
"cg00083721",2,9.52380952380952
"cg00093888",1,4.76190476190476
"cg00094095",1,4.76190476190476
"cg00100549",1,4.76190476190476
"cg00100844",1,4.76190476190476
"cg00103243",1,4.76190476190476
"cg00107682",1,4.76190476190476
"cg00113911",1,4.76190476190476
"cg00116583",2,9.52380952380952
"cg00117961",8,38.0952380952381
"cg00120118",2,9.52380952380952
"cg00121626",6,28.5714285714286
"cg00123128",4,19.047619047619
"cg00123225",1,4.76190476190476
"cg00127036",2,9.52380952380952
"cg00127560",5,23.8095238095238
"cg00127664",2,9.52380952380952
"cg00132045",1,4.76190476190476
"cg00134134",1,4.76190476190476
"cg00139234",2,9.52380952380952
"cg00140754",1,4.76190476190476
"cg00144201",2,9.52380952380952
"cg00144814",3,14.2857142857143
"cg00149452",2,9.52380952380952
"cg00149463",2,9.52380952380952
"cg00150807",2,9.52380952380952
"cg00151102",13,61.9047619047619
"cg00153990",1,4.76190476190476
"cg00156633",1,4.76190476190476
"cg00158735",10,47.6190476190476
"cg00160872",3,14.2857142857143
"cg00161189",1,4.76190476190476
"cg00162383",6,28.5714285714286
"cg00163040",15,71.4285714285714
"cg00164586",1,4.76190476190476
"cg00165615",4,19.047619047619
"cg00168423",1,4.76190476190476
"cg00172189",1,4.76190476190476
"cg00178279",1,4.76190476190476
"cg00183450",2,9.52380952380952
"cg00184005",1,4.76190476190476
"cg00184907",3,14.2857142857143
"cg00185747",3,14.2857142857143
"cg00185796",1,4.76190476190476
"cg00188351",11,52.3809523809524
"cg00198498",2,9.52380952380952
"cg00200170",1,4.76190476190476
"cg00200283",3,14.2857142857143
"cg00201552",1,4.76190476190476
"cg00201945",1,4.76190476190476
"cg00202819",1,4.76190476190476
"cg00202913",1,4.76190476190476
"cg00203621",13,61.9047619047619
"cg00211215",3,14.2857142857143
"cg00212022",5,23.8095238095238
"cg00212031",6,28.5714285714286
"cg00213177",2,9.52380952380952
"cg00213748",7,33.3333333333333
"cg00219947",1,4.76190476190476
"cg00220294",1,4.76190476190476
"cg00221525",3,14.2857142857143
"cg00221788",2,9.52380952380952
"cg00225902",1,4.76190476190476
"cg00226689",1,4.76190476190476
"cg00229192",1,4.76190476190476
"cg00229502",3,14.2857142857143
"cg00234248",1,4.76190476190476
"cg00234645",3,14.2857142857143
"cg00239700",2,9.52380952380952
"cg00241002",1,4.76190476190476
"cg00245685",10,47.6190476190476
"cg00245945",2,9.52380952380952
"cg00248776",1,4.76190476190476
"cg00249891",1,4.76190476190476
"cg00253126",2,9.52380952380952
"cg00254204",1,4.76190476190476
"cg00256329",7,33.3333333333333
"cg00262489",1,4.76190476190476
"cg00264464",2,9.52380952380952
"cg00265575",1,4.76190476190476
"cg00269900",2,9.52380952380952
"cg00271171",9,42.8571428571429
"cg00271873",3,14.2857142857143
"cg00272582",7,33.3333333333333
"cg00272903",4,19.047619047619
"cg00275449",1,4.76190476190476
"cg00277065",4,19.047619047619
"cg00279814",7,33.3333333333333
"cg00280142",4,19.047619047619
"cg00280728",1,4.76190476190476
"cg00281375",6,28.5714285714286
"cg00286181",3,14.2857142857143
"cg00290224",16,76.1904761904762
"cg00290795",4,19.047619047619
"cg00293330",8,38.0952380952381
"cg00297966",1,4.76190476190476
"cg00301902",1,4.76190476190476
"cg00308367",6,28.5714285714286
